horse_name,race_time,race_date,track,racecode,racetype,distance_words2,furlongs,going,number_of_runners,Class,LastRun,placing,jockey_name,odds_numerical,trainer,horse_weight,official_rating,stall,DistBt,
"Aali (IRE)","14:30:00","2019-06-20","Ascot","Flat (Turf)","Non-Handicap","5f ","5","Soft","14","Group 2","15","1","Dettori, L","5.00","Crisford, Simon","127","0","9",,
"Air Force Jet","14:30:00","2019-06-20","Ascot","Flat (Turf)","Non-Handicap","5f ","5","Soft","14","Group 2","19","13","Murphy, Oisin","8.00","OBrien, Joseph Patrick","127","0","8",,
"Cool Sphere (USA)","14:30:00","2019-06-20","Ascot","Flat (Turf)","Non-Handicap","5f ","5","Soft","14","Group 2","23","12","McDonald, James","80.00","Cowell, R M H","127","0","7",,
"Dubai Station","14:30:00","2019-06-20","Ascot","Flat (Turf)","Non-Handicap","5f ","5","Soft","14","Group 2","14","3","Spencer, Jamie","14.00","Burke, K R","127","0","3",,
"Emten (IRE)","14:30:00","2019-06-20","Ascot","Flat (Turf)","Non-Handicap","5f ","5","Soft","14","Group 2","52","5","Currie, Nicola","80.00","Osborne, J A","124","0","15",,
"Expressionist (IRE)","14:30:00","2019-06-20","Ascot","Flat (Turf)","Non-Handicap","5f ","5","Soft","14","Group 2","40","9","Doyle, James","11.00","Appleby, Charlie","127","0","6",,
"Firepower (FR)","14:30:00","2019-06-20","Ascot","Flat (Turf)","Non-Handicap","5f ","5","Soft","14","Group 2","33","10","Kirby, Adam","33.00","Cox, C G","127","0","2",,
"King Neptune (USA)","14:30:00","2019-06-20","Ascot","Flat (Turf)","Non-Handicap","5f ","5","Soft","14","Group 2","27","6","OBrien, Donnacha","20.00","OBrien, A P","127","0","1",,
"Maven (USA)","14:30:00","2019-06-20","Ascot","Flat (Turf)","Non-Handicap","5f ","5","Soft","14","Group 2","No Prev","0",,"0.00","Ward, Wesley","127","0","5",,
"Misty Grey (IRE)","14:30:00","2019-06-20","Ascot","Flat (Turf)","Non-Handicap","5f ","5","Soft","14","Group 2","20","7","Sousa, Silvestre De","16.00","Johnston, M","127","0","14",,
"Mount Fuji (IRE)","14:30:00","2019-06-20","Ascot","Flat (Turf)","Non-Handicap","5f ","5","Soft","14","Group 2","29","11","Moore, Ryan","7.00","OBrien, A P","127","0","13",,
