race_date,time,track,distance,class,valuetowinner,going,Code,hcap_or_non,AgeRestrictions,race_name,cardno,horse_name,horse_age,last,last2,last3,last4,last5,last6,last7,last8,last9,last10,leveller,speed,jockey_name,jockeyrating,trainer_name,trainerrating,stallion,stallionrating,today,total,odds_numerical,Stall,OffRat,Runners,Horse_DaysSinceRan,RaceType,
"2019-06-20","13:50:00","Chelmsford City","6f ","Class 5","5822","Standard","All Weather","Non Handicap","2yo","Love That Hat EBF Maiden Auction Stakes","9","My Motivate Girl (IRE)","2","64.0249","24.4489","15.0911","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","27.7314","0.0000","Greatrex, Mr T","0.0000","Watson, Archie","1.6230","Requinto (IRE)","0.0000","1.7666","134.6859","5.50","2","0","9","10","Maiden",
"2019-06-20","13:50:00","Chelmsford City","6f ","Class 5","5822","Standard","All Weather","Non Handicap","2yo","Love That Hat EBF Maiden Auction Stakes","3","Hard Nut (IRE)","2","62.7823","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","70.9754","0.0000","Levey, S M","0.0000","Hannon (Jnr), Richard","1.0090","Gutaifan (IRE)","0.0000","-0.2000","134.5667","3.50","8","0","9","10","Maiden",
"2019-06-20","13:50:00","Chelmsford City","6f ","Class 5","5822","Standard","All Weather","Non Handicap","2yo","Love That Hat EBF Maiden Auction Stakes","7","Zain Storm (FR)","2","54.0501","15.6945","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","31.2578","0.0000","Doyle, Hollie","0.0000","Butler, John","0.7214","Lethal Force (IRE)","0.0000","0.1000","101.8238","8.00","5","0","9","24","Maiden",
"2019-06-20","13:50:00","Chelmsford City","6f ","Class 5","5822","Standard","All Weather","Non Handicap","2yo","Love That Hat EBF Maiden Auction Stakes","8","Chateau Peapod","2","46.3018","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","52.3441","0.0000","Doyle, Brett","0.0000","Pearce, Mrs Lydia","0.2356","Coach House (IRE)","0.0000","0.1000","98.9815","66.00","6","0","9","16","Maiden",
"2019-06-20","13:50:00","Chelmsford City","6f ","Class 5","5822","Standard","All Weather","Non Handicap","2yo","Love That Hat EBF Maiden Auction Stakes","4","Ossco","2","48.3429","15.4138","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","29.0324","0.0000","Cronin, S C","0.0000","Moubarak, Mohamed","0.4097","Sepoy (AUS)","0.0000","0.6000","93.7988","7.00","1","0","9","12","Maiden",
"2019-06-20","13:50:00","Chelmsford City","6f ","Class 5","5822","Standard","All Weather","Non Handicap","2yo","Love That Hat EBF Maiden Auction Stakes","6","Under Your Spell (IRE)","2","37.2778","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","42.1426","0.0000","Costello, Dougie","0.0000","Osborne, J A","0.9205","Dark Angel (IRE)","0.0000","0.1000","80.4409","20.00","9","0","9","7","Maiden",
"2019-06-20","13:50:00","Chelmsford City","6f ","Class 5","5822","Standard","All Weather","Non Handicap","2yo","Love That Hat EBF Maiden Auction Stakes","5","Thomas Lanfiere (FR)","2","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","Hogan, D E","0.0000","Simcock, D M","1.2142","No Nay Never (USA)","0.0000","0.6000","1.8142","2.50","3","0","9",,"Maiden",
"2019-06-20","13:50:00","Chelmsford City","6f ","Class 5","5822","Standard","All Weather","Non Handicap","2yo","Love That Hat EBF Maiden Auction Stakes","1","Conker","2","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","Ryan, Rossa","0.0000","Wallis, Charlie","0.6085","Swiss Spirit","0.0000","0.0000","0.6085","50.00","7","0","9",,"Maiden",
"2019-06-20","13:50:00","Chelmsford City","6f ","Class 5","5822","Standard","All Weather","Non Handicap","2yo","Love That Hat EBF Maiden Auction Stakes","2","Exciting Days (USA)","2","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","Morris, Luke","0.0000","Cowell, R M H","0.5033","Blame (USA)","0.0000","0.1000","0.6033","3.50","4","0","9",,"Maiden",
"2019-06-20","14:10:00","Ripon","6f ","Class 5","3881","Good To Soft","Flat (Turf)","Non Handicap","2yo","thesecretspa.net EBF Novice Stakes","2","Coastal Mist (IRE)","2","89.5950","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","101.2871","0.0000","Davis, Sean","0.0000","Quinn, J J","2.1961","Gutaifan (IRE)","0.0000","7.6000","200.6782","1.75","8","0","8","21","Novices",
