race_date,racetime,track,race_name,race_restrictions_age,race_class,major,race_distance,prize_money,going_description,number_of_runners,place,distbt,horse_name,stall,trainer,horse_age,jockey_name,jockeys_claim,pounds,odds,fav,official_rating,comptime,comptime_numeric,TotalDstBt,MedianOR,Dist_Furlongs,placing_numerical,RCode,BFSP,BFSP_Place,PlcsPaid,BFPlcsPaid,Yards,RailMove,RaceType,Comment,CardNo,
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","2yo","Class 1","Group 2","5f ","56710","Soft","14",,,"Maven (USA)","5","Ward, Wesley","2",,"0","127","14",,"0","1 mins 1.90s","61.9",,"0","5","0","Flat","0","0","3","0","1100","0","Non-Handicap",,"8",
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","2yo","Class 1","Group 2","5f ","56710","Soft","14","1st",,"Aali (IRE)","9","Crisford, Simon","2","Dettori, L","0","127","5",,"0","1 mins 1.90s","61.9",,"0","5","1","Flat","0","0","3","0","1100","0","Non-Handicap",,"1",
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","2yo","Class 1","Group 2","5f ","56710","Soft","14","2nd","NK","Ventura Rebel","11","Fahey, R A","2","Hanagan, Paul","0","127","16",,"0","1 mins 1.90s","61.9",,"0","5","2","Flat","0","0","3","0","1100","0","Non-Handicap",,"14",
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","2yo","Class 1","Group 2","5f ","56710","Soft","14","3rd","2.75","Dubai Station","3","Burke, K R","2","Spencer, Jamie","0","127","14",,"0","1 mins 1.90s","61.9",,"0","5","3","Flat","0","0","3","0","1100","0","Non-Handicap",,"4",
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","2yo","Class 1","Group 2","5f ","56710","Soft","14","4th","NK","Strive For Glory (USA)","4","Cowell, R M H","2","Kingscote, Richard","0","127","50",,"0","1 mins 1.90s","61.9",,"0","5","4","Flat","0","0","3","0","1100","0","Non-Handicap",,"12",
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","2yo","Class 1","Group 2","5f ","56710","Soft","14","5th","1.25","Emten (IRE)","15","Osborne, J A","2","Currie, Nicola","0","124","80",,"0","1 mins 1.90s","61.9",,"0","5","5","Flat","0","0","3","0","1100","0","Non-Handicap",,"15",
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","2yo","Class 1","Group 2","5f ","56710","Soft","14","6th","NK","King Neptune (USA)","1","OBrien, A P","2","OBrien, Donnacha","0","127","20",,"0","1 mins 1.90s","61.9",,"0","5","6","Flat","0","0","3","0","1100","0","Non-Handicap",,"7",
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","2yo","Class 1","Group 2","5f ","56710","Soft","14","7th","SH","Misty Grey (IRE)","14","Johnston, M","2","Sousa, Silvestre De","0","127","16",,"0","1 mins 1.90s","61.9",,"0","5","7","Flat","0","0","3","0","1100","0","Non-Handicap",,"9",
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","2yo","Class 1","Group 2","5f ","56710","Soft","14","8th","NK","Sunday Sovereign","10","Twomey, P","2","Lee, W J","0","127","1.63","(Fav)","0","1 mins 1.90s","61.9",,"0","5","8","Flat","0","0","3","0","1100","0","Non-Handicap",,"13",
"2019-06-20","14:30:00","Ascot","Norfolk Stakes (Group 2)","2yo","Class 1","Group 2","5f ","56710","Soft","14","9th","0.75","Expressionist (IRE)","6","Appleby, Charlie","2","Doyle, James","0","127","11",,"0","1 mins 1.90s","61.9",,"0","5","9","Flat","0","0","3","0","1100","0","Non-Handicap",,"5",
